codePoint,radicalId,numberOfStrokesInRadical,numberOfStrokes,onyomi,kunyomi,jisLevel,regular,forName
38585,172,0,8,"SUI,SAI",TORI,2,false,false
38587,172,2,10,SEKI,HITOTSU,1,true,true
38588,172,2,10,"JUN,SHUN",HAYABUSA,1,false,true
38592,172,3,11,"JAKU,SAKU",SUZUME,1,false,true
38593,172,4,12,GAN,KARI,1,false,true
38596,172,4,12,YUU,"OSU,O",1,true,true
38597,172,4,12,"GA,A","MIYABIYAKA,TSUNE",1,true,true
38598,172,4,12,"SHUU,JUU","ATSUMARU,TSUDOU,ATSUMERU",1,true,true
38599,172,4,12,KO,"YATOU,YATOI",1,true,true
38601,172,5,13,"CHI,JI",KIJI,2,false,false
38603,172,5,12,"SEN,SHUN",SUGURERU,2,false,false
38604,172,5,14,SHI,"MESU,ME",1,true,true
38605,172,5,13,"YOU,YU","YAWARAGU,FUSAGU",2,false,false
38606,172,5,13,SHO,MISAGO,2,false,false
38609,172,6,14,"ZATSU,ZOU","MAJIRU,MAJIERU",1,true,true
38613,172,8,16,CHOU,"WASHI,KIZAMU",2,false,false
38614,172,9,17,SUI,IEDOMO,2,false,false
38617,172,10,18,SOU,"FUTA,FUTATSU,NARABU",2,false,false
38619,172,10,18,SUU,HINA,1,false,true
38620,172,10,18,"ZATSU,ZOU","MAJIRU,MAJIERU",2,false,true
38626,172,11,18,RI,"HANARERU,HANASU,TSUKU",1,true,true
38627,172,11,19,NAN,"KATAI,MUZUKASHII",1,true,true
38632,173,0,8,U,"AME,AMA",1,true,true
38634,173,3,11,SETSU,"YUKI,SUSUGU",1,true,true
38635,173,3,11,"DA,DAN",SHIZUKU,1,false,true
38640,173,4,12,FUN,KIRI,1,true,true
38642,173,4,12,UN,KUMO,1,true,true
38646,173,5,13,REI,"OCHIRU,FURU,KOBORERU",1,true,true
38647,173,5,13,"RAI,RUI","KAMINARI,IKAZUCHI",1,true,true
38649,173,5,13,"HAKU,HOKU",HYOU,2,false,false
38651,173,5,13,"DEN,TEN",INAZUMA,1,true,true
38656,173,6,14,JU,"NURERU,MATSU,MOTOMERU",1,true,true
38660,173,7,15,SHOU,SORA,2,false,false
38662,173,7,14,TEI,IKAZUCHI,2,false,false
38663,173,7,15,SHIN,"FURUU,FURUERU",1,true,true
38664,173,7,15,HAI,,2,false,false
38666,173,7,15,"REI,RYOU",TAMA,1,true,true
38669,173,8,16,KAKU,NIWAKA,2,false,false
38670,173,8,16,"SOU,SHOU",KOSAME,2,false,false
38671,173,8,16,HI,MOYA,2,false,false
38673,173,8,16,TEN,URUOU,2,false,false
38675,173,8,16,GEI,NIJI,2,false,false
38678,173,8,16,RIN,NAGAAME,2,false,false
38681,173,9,16,"EI,YOU",MIZORE,2,false,false
38684,173,9,17,SOU,SHIMO,1,true,true
38686,173,9,17,"KA,GE","KASUMI,KASUMU",1,false,true
38692,173,10,18,RYUU,AMADARE,2,false,false
38695,173,11,18,"MU,BU",KIRI,1,true,true
38698,173,11,19,IN,,2,false,false
38704,173,12,20,"SAN,SEN",ARARE,2,false,false
38706,173,12,21,RO,"TSUYU,ARAWARERU",1,true,true
38712,173,13,21,"HAKU,HYAKU,HA","HATAGASHIRA,KASHIRA",2,false,false
38713,173,13,21,"HEKI,HYAKU",HATAMEKU,2,false,false
38717,173,14,22,"SEI,SAI",HARERU,2,false,false
38718,173,14,22,BAI,"TSUCHIFURU,TSUCHIGUMORI",2,false,false
38722,173,16,24,"REKI,RYAKU",,2,false,false
38724,173,16,24,AI,MOYA,2,false,false
38726,173,16,23,TAI,,2,false,false
38728,173,16,24,"REI,RYOU",TAMA,2,false,false
38729,173,17,25,AI,,2,false,false
38738,174,0,8,"SEI,SHOU","AO,AOI",1,true,true
38742,174,5,13,"SEI,JOU","YASUI,YASUNJIRU,YASU",1,false,true
38745,174,6,14,"SEI,JOU","SHIZUKA,SHIZUMERU,SHIZUMARU",1,true,true
38748,174,8,16,"SEI,JOU",SHIZUKA,2,false,true
38750,175,0,8,HI,"SORERU,ARAZU",1,true,true
38752,175,7,15,KOU,"TAGAU,YORU",2,false,false
38753,175,11,19,"HI,BI,MI","NABIKU,NAI",2,false,false
38754,176,0,9,"MEN,BEN","OMO,OMOTE,TSURA",1,true,true
38756,176,5,14,HOU,NIKIBI,2,false,false
38758,176,7,16,TEN,,2,false,false
38760,176,14,23,YOU,EKUBO,2,false,false
38761,177,0,9,"KAKU,KYOKU","KAWA,ARATAMARU,ARATAMERU",1,true,true
38763,177,3,12,"SAI,SA","UTSUBO,YUGI",2,false,false
38765,177,3,12,JIN,"SHINAYAKA,UTSUBO,YUGI",1,false,false
38769,177,3,12,JIN,SHINAYAKA,2,false,false
38772,177,4,13,KA,KUTSU,1,true,true
38777,177,4,13,KETSU,,2,false,false
38778,177,5,14,"MATSU,BATSU",,2,false,false
38780,177,5,14,"TAN,TATSU",NAMESHIGAWA,2,false,false
38785,177,5,14,"HI,BI","HIKIZUNA,TAZUNA,HARAOBI",2,false,false
38788,177,5,14,"HOU,HAKU",KABAN,1,false,true
38789,177,5,14,"OU,YOU","MUNAGAI,HARAOBI,URAMU",2,false,false
38790,177,5,14,,TOMO,2,false,false
38795,177,6,15,"AI,KAI",WARAJI,2,false,false
38797,177,6,15,AN,KURA,1,false,true
38799,177,6,15,KYOU,KATAI,2,false,false
38800,177,6,15,,KOHAZE,2,false,false
38808,177,7,16,"SOU,SHOU",SAYA,1,false,true
38812,177,8,17,TOU,KUTSU,2,false,false
38816,177,8,17,"KIKU,KYOU",MARI,1,false,true
38819,177,9,18,JUU,NAMESHIGAWA,2,false,false
38822,177,9,18,SHUU,SHIRIGAI,2,false,false
38824,177,9,18,"KATSU,GACHI,SETSU",KAWAGUTSU,2,false,false
38827,177,9,18,KIKU,"KIWAMERU,KIWAMARU",2,false,false
